Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Any Backlogs?,Innovative Project(Y/N),Communication level,Technical skills(Y/N),Coding Score,Aptitude Score,Hackathons Count,Certifications Count,Placement(Y/N)?
Male,ICSE,35.0,State,35.0,Other,3.02,No,Yes,Yes,No,3,Yes,14,28,3,1,Not Placed
Female,CBSE,53.8,State,35.0,Computer Science,3.0,Yes,Yes,Yes,No,1,Yes,6,22,0,0,Not Placed
Male,ICSE,90.3,State,80.3,Electronics,9.96,No,Yes,No,Yes,2,No,94,92,0,1,Placed
Male,State,49.7,Other,53.9,Information Technology,5.61,No,No,Yes,No,2,Yes,55,39,5,0,Not Placed
Female,CBSE,35.0,CBSE,46.0,Information Technology,4.41,Yes,Yes,No,Yes,5,Yes,46,34,5,0,Placed
Female,State,56.5,Other,58.6,Electrical,7.53,Yes,No,No,Yes,3,Yes,68,64,0,1,Placed
Male,CBSE,35.8,State,40.3,Mechanical,3.0,Yes,No,Yes,Yes,4,Yes,24,41,0,3,Not Placed
Male,State,35.8,ICSE,37.2,Electrical,3.0,Yes,Yes,No,Yes,3,Yes,0,21,0,1,Not Placed
Male,ICSE,35.0,State,36.2,Computer Science,3.0,No,Yes,No,No,4,No,52,31,1,0,Not Placed
Female,State,80.4,State,66.0,Electrical,9.03,Yes,Yes,No,Yes,3,Yes,79,76,1,2,Placed
Female,ICSE,36.9,ICSE,55.5,Computer Science,6.35,Yes,Yes,No,Yes,2,Yes,15,36,1,3,Placed
Male,State,35.0,ICSE,35.0,Electrical,3.0,No,Yes,Yes,Yes,2,No,8,23,3,2,Not Placed
Female,CBSE,75.6,CBSE,69.9,Information Technology,7.36,Yes,Yes,No,Yes,2,Yes,59,58,3,0,Placed
Female,State,45.9,CBSE,44.9,Information Technology,5.26,No,Yes,Yes,No,3,No,29,25,4,1,Not Placed
Female,State,35.0,State,35.0,Electronics,3.0,No,Yes,No,Yes,2,Yes,11,13,1,2,Not Placed
Female,CBSE,46.5,Other,40.7,Other,4.51,Yes,Yes,No,Yes,3,Yes,32,32,0,0,Not Placed
Male,CBSE,60.0,CBSE,49.1,Computer Science,7.48,Yes,Yes,No,Yes,1,Yes,68,58,1,2,Placed
Male,CBSE,65.2,State,37.7,Information Technology,6.41,Yes,Yes,Yes,Yes,4,Yes,52,59,3,0,Placed
Male,CBSE,88.1,State,96.6,Electrical,8.41,Yes,No,Yes,No,5,Yes,86,81,0,1,Placed
Male,CBSE,48.0,ICSE,35.0,Information Technology,3.0,No,No,No,No,1,Yes,35,30,3,2,Not Placed
Male,CBSE,51.0,State,49.7,Computer Science,7.86,Yes,No,Yes,Yes,2,Yes,49,26,0,2,Placed
Female,CBSE,35.0,State,37.5,Information Technology,5.5,Yes,Yes,Yes,Yes,3,No,34,38,0,2,Not Placed
Male,Other,37.9,Other,38.6,Information Technology,3.0,Yes,Yes,No,Yes,3,Yes,16,19,1,2,Placed
Male,CBSE,61.1,State,88.1,Electrical,7.84,Yes,Yes,No,Yes,1,Yes,81,81,3,0,Placed
Male,ICSE,52.0,State,59.9,Civil,6.54,No,Yes,Yes,Yes,2,Yes,64,66,0,4,Placed
Female,State,59.5,CBSE,53.2,Electronics,6.98,Yes,Yes,No,Yes,5,Yes,42,36,0,2,Placed
Male,State,65.5,State,44.0,Other,6.17,Yes,No,No,Yes,4,No,40,64,2,0,Placed
Male,CBSE,37.7,CBSE,35.0,Information Technology,4.19,Yes,Yes,No,Yes,5,No,22,20,4,2,Placed
Male,Other,35.0,CBSE,35.0,Computer Science,4.35,Yes,No,No,Yes,3,Yes,30,35,0,1,Placed
Male,State,51.7,State,41.6,Computer Science,7.24,Yes,Yes,No,No,5,Yes,33,61,1,1,Placed
Others,ICSE,89.5,State,44.3,Information Technology,8.92,No,Yes,No,No,4,Yes,60,86,3,2,Placed
Female,CBSE,83.1,State,89.6,Computer Science,10.0,Yes,Yes,Yes,No,5,Yes,61,72,3,0,Placed
Male,CBSE,59.2,CBSE,68.5,Other,7.34,Yes,Yes,Yes,Yes,1,Yes,72,67,4,5,Placed
Female,State,45.9,State,48.0,Civil,5.56,Yes,Yes,No,No,4,Yes,54,56,3,1,Placed
Female,CBSE,57.2,State,68.2,Computer Science,4.99,Yes,Yes,No,Yes,3,Yes,61,55,0,2,Placed
Female,State,57.6,State,37.8,Electronics,6.08,Yes,No,No,No,3,Yes,40,29,0,1,Not Placed
Male,CBSE,41.9,CBSE,35.0,Civil,4.25,No,Yes,Yes,No,3,Yes,3,28,3,2,Not Placed
Male,State,56.7,State,35.0,Other,5.81,Yes,No,No,Yes,4,Yes,35,52,2,2,Placed
Male,Other,35.0,ICSE,38.1,Electrical,3.0,No,Yes,No,Yes,5,No,2,20,1,1,Not Placed
Female,State,48.6,CBSE,38.8,Electronics,6.75,Yes,Yes,No,No,4,Yes,26,35,2,1,Placed
Male,ICSE,91.0,CBSE,77.3,Civil,9.78,Yes,Yes,No,No,5,Yes,91,74,0,0,Placed
Male,State,57.9,State,75.9,Electronics,8.7,Yes,Yes,No,Yes,3,Yes,58,70,2,2,Placed
Male,State,35.0,State,51.9,Electronics,3.39,Yes,No,Yes,No,4,Yes,30,32,0,2,Not Placed
Female,Other,59.7,State,49.0,Computer Science,5.29,No,No,No,Yes,3,Yes,57,49,1,2,Placed
Male,ICSE,49.2,State,41.6,Computer Science,5.29,Yes,No,No,Yes,3,No,16,27,3,2,Placed
Female,ICSE,52.0,CBSE,38.6,Electronics,5.84,Yes,No,Yes,Yes,5,Yes,51,49,2,0,Placed
Female,CBSE,69.1,CBSE,87.6,Computer Science,7.63,Yes,Yes,No,No,5,Yes,48,44,2,0,Placed
Male,State,53.2,CBSE,59.1,Computer Science,6.91,Yes,Yes,No,No,4,Yes,61,57,0,1,Placed
Female,CBSE,95.3,CBSE,84.0,Civil,9.99,Yes,Yes,No,Yes,4,Yes,98,79,0,0,Placed
Male,State,89.1,State,65.0,Computer Science,9.19,No,Yes,No,No,3,Yes,55,68,2,1,Placed
Female,State,84.2,CBSE,68.2,Electronics,6.28,Yes,Yes,Yes,Yes,3,Yes,59,38,1,3,Placed
Male,ICSE,70.7,Other,63.9,Electronics,7.99,Yes,Yes,Yes,Yes,4,No,61,62,0,2,Placed
Female,ICSE,50.9,ICSE,56.3,Other,5.97,No,No,No,No,3,No,35,61,4,0,Not Placed
Female,CBSE,35.0,ICSE,36.4,Information Technology,3.04,No,Yes,Yes,Yes,1,Yes,8,25,1,1,Not Placed
Female,CBSE,59.1,Other,69.1,Computer Science,7.91,Yes,No,Yes,Yes,3,Yes,74,70,1,0,Placed
Female,ICSE,74.4,State,78.0,Electronics,7.66,Yes,Yes,No,Yes,3,Yes,71,89,0,0,Placed
Male,CBSE,74.3,ICSE,50.7,Electrical,4.45,Yes,Yes,No,Yes,2,Yes,36,32,3,1,Placed
Female,State,72.5,CBSE,43.4,Other,6.14,No,Yes,Yes,No,3,Yes,39,56,3,2,Placed
Female,CBSE,87.9,CBSE,58.8,Information Technology,9.69,Yes,No,Yes,Yes,5,Yes,79,85,2,3,Placed
Female,CBSE,72.3,ICSE,66.0,Information Technology,7.67,Yes,Yes,No,No,4,Yes,76,57,0,1,Placed
Male,Other,35.0,CBSE,37.6,Electrical,3.0,Yes,Yes,No,Yes,3,Yes,27,27,0,0,Not Placed
Female,CBSE,35.0,Other,74.1,Computer Science,8.02,No,Yes,No,Yes,4,Yes,69,52,1,0,Placed
Female,State,59.7,State,35.0,Mechanical,4.92,Yes,Yes,No,Yes,2,Yes,34,32,0,1,Placed
Female,CBSE,68.7,ICSE,68.9,Information Technology,7.46,Yes,Yes,No,Yes,4,Yes,50,65,1,2,Placed
Male,Other,66.0,CBSE,73.1,Computer Science,9.05,Yes,No,No,Yes,3,Yes,71,65,0,1,Placed
Female,ICSE,74.8,State,75.5,Information Technology,9.17,Yes,Yes,No,Yes,4,Yes,67,64,0,3,Placed
Male,CBSE,35.0,CBSE,44.4,Computer Science,3.66,Yes,Yes,No,Yes,4,Yes,34,8,4,0,Placed
Female,CBSE,35.0,ICSE,45.6,Mechanical,5.1,No,No,No,Yes,2,Yes,17,27,2,5,Not Placed
Male,State,74.6,CBSE,56.8,Other,8.47,Yes,Yes,Yes,Yes,4,Yes,56,51,0,3,Placed
Female,CBSE,39.1,State,35.0,Computer Science,3.87,Yes,Yes,No,Yes,3,Yes,34,40,2,0,Placed
Others,State,35.0,CBSE,35.0,Electrical,3.0,Yes,No,No,Yes,4,Yes,17,22,0,0,Not Placed
Male,CBSE,49.4,CBSE,71.0,Computer Science,6.61,No,No,No,Yes,2,Yes,64,43,5,2,Placed
Female,CBSE,43.3,State,43.3,Electronics,5.77,No,No,No,Yes,4,Yes,33,36,1,2,Placed
Male,State,75.4,CBSE,60.6,Computer Science,9.24,Yes,No,Yes,Yes,3,Yes,58,66,1,1,Placed
Female,CBSE,53.8,State,42.7,Other,6.96,Yes,No,No,No,5,No,92,47,0,0,Placed
Female,ICSE,59.2,CBSE,61.4,Civil,6.47,No,No,No,Yes,5,Yes,49,42,1,2,Placed
Female,CBSE,35.0,CBSE,40.3,Mechanical,3.91,No,No,No,Yes,1,Yes,72,43,1,2,Not Placed
Female,CBSE,74.6,State,77.8,Electrical,8.86,Yes,No,No,Yes,4,Yes,75,59,2,0,Placed
Female,Other,67.0,CBSE,69.1,Mechanical,7.0,No,Yes,Yes,No,2,No,40,62,0,2,Not Placed
Male,State,35.0,CBSE,35.0,Other,4.55,Yes,Yes,Yes,No,4,No,33,50,1,2,Not Placed
Male,State,58.9,ICSE,35.0,Civil,4.12,Yes,Yes,No,Yes,2,Yes,42,29,1,0,Not Placed
Female,CBSE,65.8,CBSE,43.0,Electrical,6.17,Yes,Yes,Yes,Yes,2,No,51,31,0,1,Not Placed
Female,State,35.0,CBSE,38.9,Electronics,4.1,No,No,Yes,No,2,Yes,29,6,0,1,Not Placed
Female,State,65.1,CBSE,76.5,Computer Science,8.9,Yes,Yes,No,Yes,4,No,65,76,0,1,Placed
Female,CBSE,35.0,State,35.0,Electronics,3.0,No,Yes,Yes,Yes,3,Yes,10,31,3,1,Not Placed
Male,ICSE,38.1,State,48.2,Computer Science,4.96,No,Yes,No,Yes,4,Yes,40,43,2,1,Placed
Female,State,45.7,CBSE,70.8,Electronics,6.84,No,Yes,No,Yes,3,Yes,72,45,3,0,Placed
Male,CBSE,56.4,ICSE,35.0,Information Technology,6.7,No,Yes,Yes,Yes,3,Yes,63,41,0,1,Placed
Female,State,41.1,CBSE,38.1,Mechanical,5.64,Yes,Yes,No,Yes,3,Yes,19,44,3,0,Placed
Male,State,67.5,State,46.6,Computer Science,6.94,Yes,Yes,No,No,2,Yes,40,60,3,0,Placed
Male,CBSE,35.0,CBSE,35.0,Computer Science,3.0,No,Yes,No,Yes,5,Yes,13,19,1,0,Not Placed
Male,CBSE,67.3,State,35.0,Electronics,6.31,Yes,Yes,No,No,2,Yes,40,68,2,0,Placed
Male,CBSE,51.5,Other,77.8,Other,6.7,Yes,No,Yes,Yes,5,Yes,61,68,2,0,Placed
Female,CBSE,51.7,State,53.8,Information Technology,5.9,Yes,Yes,No,Yes,3,No,54,60,0,0,Placed
Male,ICSE,48.1,Other,35.0,Information Technology,4.66,No,Yes,No,Yes,4,Yes,39,27,0,2,Placed
Male,State,64.3,CBSE,73.9,Civil,9.17,No,Yes,No,Yes,2,Yes,69,80,0,0,Placed
Male,Other,44.5,CBSE,39.4,Mechanical,5.71,No,No,No,Yes,2,No,66,56,3,1,Not Placed
Male,CBSE,69.2,CBSE,48.9,Computer Science,7.88,Yes,No,Yes,Yes,3,Yes,66,58,1,1,Placed
Male,CBSE,71.2,CBSE,93.5,Information Technology,9.6,Yes,No,Yes,No,3,No,76,85,1,1,Placed
Male,ICSE,73.2,CBSE,90.4,Computer Science,8.87,Yes,Yes,No,Yes,3,No,49,77,1,3,Placed
Female,State,67.6,CBSE,61.6,Other,7.65,No,No,No,Yes,3,Yes,72,69,0,1,Placed
Female,State,49.8,State,66.4,Computer Science,5.49,Yes,No,No,No,3,Yes,55,38,0,1,Placed
Female,CBSE,47.9,CBSE,67.7,Information Technology,6.8,Yes,Yes,No,No,3,No,52,50,2,1,Placed
Male,CBSE,60.1,CBSE,37.0,Computer Science,7.06,Yes,Yes,Yes,Yes,5,Yes,35,34,3,0,Placed
Male,CBSE,35.0,CBSE,35.0,Computer Science,4.12,No,Yes,No,No,4,Yes,34,36,1,2,Not Placed
Female,Other,58.6,ICSE,74.0,Electrical,5.84,Yes,Yes,No,Yes,4,Yes,39,37,1,0,Placed
Male,CBSE,54.4,CBSE,37.5,Computer Science,8.22,Yes,Yes,No,Yes,1,Yes,52,51,1,0,Placed
Male,ICSE,63.2,State,87.4,Computer Science,6.31,Yes,No,Yes,Yes,1,Yes,57,41,1,2,Placed
Male,State,51.3,State,41.6,Information Technology,6.54,Yes,Yes,No,Yes,3,Yes,48,60,1,0,Placed
Male,CBSE,43.6,State,57.1,Computer Science,5.69,Yes,Yes,No,Yes,4,Yes,18,20,1,0,Placed
Male,State,59.2,CBSE,57.5,Computer Science,7.4,No,No,Yes,No,4,Yes,57,61,2,1,Placed
Male,ICSE,44.4,CBSE,38.8,Electrical,3.0,No,Yes,No,Yes,4,No,7,5,0,0,Not Placed
Female,ICSE,62.1,State,90.9,Civil,8.32,Yes,Yes,Yes,Yes,2,Yes,75,82,4,2,Placed
Male,CBSE,48.7,CBSE,63.4,Electrical,5.33,Yes,Yes,Yes,Yes,5,Yes,46,52,0,2,Placed
Female,CBSE,67.7,CBSE,47.5,Electrical,7.36,Yes,No,No,Yes,3,Yes,61,50,0,0,Placed
Female,CBSE,69.5,CBSE,49.3,Mechanical,6.16,Yes,Yes,No,No,2,Yes,74,55,4,1,Placed
Female,CBSE,55.6,ICSE,59.1,Computer Science,5.71,No,Yes,No,No,3,Yes,54,65,0,3,Placed
Female,State,35.0,State,35.0,Electrical,3.47,Yes,Yes,Yes,Yes,1,No,13,13,1,1,Not Placed
Female,ICSE,59.4,State,66.8,Electrical,8.11,No,Yes,Yes,Yes,3,No,77,72,1,0,Placed
Male,CBSE,66.3,State,45.6,Electrical,8.18,Yes,Yes,Yes,Yes,4,Yes,58,54,0,1,Placed
Male,State,36.5,ICSE,53.2,Electronics,3.62,Yes,Yes,No,No,3,Yes,47,18,4,1,Placed
Male,State,44.4,State,35.0,Computer Science,4.39,Yes,No,No,Yes,3,No,53,50,1,0,Not Placed
Female,CBSE,51.8,State,35.0,Electrical,6.26,Yes,Yes,No,Yes,3,Yes,28,41,2,0,Placed
Female,CBSE,56.0,Other,46.2,Civil,3.5,Yes,Yes,Yes,Yes,3,Yes,29,18,3,2,Not Placed
Male,State,88.3,State,80.7,Other,9.29,Yes,Yes,Yes,Yes,3,No,72,79,1,1,Placed
Female,ICSE,72.9,CBSE,75.0,Computer Science,9.6,Yes,Yes,No,Yes,3,Yes,93,66,2,4,Placed
Male,State,48.3,CBSE,71.0,Computer Science,6.42,No,Yes,No,Yes,1,No,40,52,2,0,Placed
Female,CBSE,48.3,ICSE,57.3,Computer Science,6.23,Yes,Yes,Yes,Yes,3,Yes,52,49,1,1,Placed
Male,CBSE,50.4,ICSE,38.2,Electrical,4.6,Yes,No,No,No,5,Yes,34,49,2,0,Placed
Male,CBSE,46.2,State,57.4,Computer Science,6.3,Yes,Yes,No,Yes,4,Yes,67,66,0,1,Placed
Male,State,78.6,State,65.7,Computer Science,9.3,Yes,Yes,No,Yes,3,No,95,72,0,1,Placed
Male,ICSE,48.0,State,35.0,Other,3.0,Yes,Yes,No,Yes,4,Yes,26,26,5,1,Placed
Male,CBSE,35.0,State,39.3,Computer Science,3.83,No,Yes,No,No,3,Yes,5,28,0,1,Not Placed
Male,ICSE,91.8,State,80.4,Electrical,7.71,Yes,Yes,No,Yes,2,Yes,73,82,1,0,Placed
Female,State,35.0,CBSE,35.0,Information Technology,3.0,No,Yes,No,Yes,4,Yes,5,5,0,3,Not Placed
Male,State,44.1,Other,49.5,Electrical,4.13,Yes,Yes,No,Yes,2,Yes,9,24,3,3,Placed
Male,Other,59.8,ICSE,55.8,Electronics,5.45,Yes,Yes,No,Yes,4,No,16,45,0,3,Placed
Female,CBSE,37.3,State,35.5,Electrical,3.23,No,Yes,No,No,3,Yes,28,15,2,2,Not Placed
Female,Other,58.8,CBSE,43.6,Electrical,8.39,Yes,Yes,No,Yes,4,Yes,85,78,2,1,Placed
Male,CBSE,73.1,CBSE,60.7,Computer Science,7.48,Yes,Yes,No,Yes,2,Yes,55,48,0,1,Placed
Male,CBSE,38.3,State,52.7,Computer Science,6.32,Yes,Yes,No,Yes,4,Yes,30,20,2,0,Placed
Male,ICSE,63.3,State,57.3,Computer Science,8.87,Yes,Yes,Yes,Yes,2,Yes,80,80,4,2,Placed
Male,Other,76.2,State,75.2,Mechanical,9.52,Yes,Yes,No,Yes,1,Yes,84,79,1,0,Placed
Female,State,44.0,CBSE,54.9,Electrical,6.63,Yes,Yes,No,Yes,4,Yes,64,44,0,0,Placed
Male,State,56.3,State,48.5,Information Technology,5.63,Yes,Yes,No,Yes,4,Yes,43,34,1,1,Placed
Male,State,95.1,ICSE,87.4,Mechanical,10.0,Yes,Yes,Yes,Yes,5,Yes,73,88,0,0,Placed
Female,ICSE,56.1,CBSE,69.4,Computer Science,7.58,Yes,No,No,No,1,Yes,69,61,4,2,Placed
Male,CBSE,52.2,State,56.8,Electrical,6.51,Yes,Yes,No,No,4,Yes,42,53,1,2,Placed
Female,ICSE,75.1,ICSE,55.1,Other,8.21,Yes,Yes,Yes,No,4,Yes,71,70,1,3,Placed
Male,State,59.6,State,61.5,Computer Science,6.4,No,Yes,No,No,3,Yes,64,57,1,0,Placed
Female,State,56.2,State,45.7,Electronics,4.4,No,Yes,Yes,Yes,3,No,24,45,0,0,Not Placed
Male,State,63.3,State,35.0,Computer Science,6.7,Yes,Yes,Yes,No,3,No,46,56,0,2,Not Placed
Female,State,73.7,Other,83.9,Electronics,7.35,Yes,Yes,Yes,Yes,3,Yes,51,70,1,0,Placed
Female,Other,35.0,CBSE,35.0,Electronics,3.0,No,Yes,No,Yes,4,Yes,0,8,1,1,Not Placed
Male,State,35.0,State,35.0,Computer Science,5.87,Yes,Yes,No,Yes,3,Yes,33,45,5,2,Placed
Female,Other,92.1,CBSE,63.2,Information Technology,8.89,Yes,No,Yes,Yes,3,Yes,92,83,0,1,Placed
Female,CBSE,41.6,CBSE,35.4,Information Technology,4.26,Yes,Yes,No,Yes,2,No,35,34,1,0,Not Placed
Female,State,97.6,CBSE,68.8,Electronics,9.65,No,Yes,No,Yes,4,Yes,100,72,5,0,Placed
Female,ICSE,81.7,CBSE,77.0,Electronics,8.76,No,Yes,No,No,2,Yes,85,77,0,0,Placed
Female,State,74.1,Other,37.7,Computer Science,3.57,No,Yes,No,No,1,Yes,55,52,2,2,Not Placed
Male,State,51.1,Other,54.8,Civil,4.08,Yes,Yes,No,Yes,4,Yes,21,34,0,0,Placed
Male,State,35.7,CBSE,58.4,Civil,6.55,Yes,Yes,No,No,4,Yes,37,45,4,1,Placed
Female,ICSE,83.9,State,90.4,Information Technology,10.0,Yes,Yes,No,Yes,2,Yes,71,75,0,4,Placed
Male,ICSE,86.1,State,81.5,Computer Science,10.0,No,Yes,No,Yes,5,Yes,79,81,3,3,Placed
Female,CBSE,48.5,ICSE,63.8,Civil,6.88,Yes,No,Yes,Yes,4,Yes,42,63,3,0,Placed
Female,ICSE,40.6,State,37.3,Other,4.16,No,Yes,No,No,4,Yes,32,40,3,2,Not Placed
Male,CBSE,43.4,CBSE,43.7,Computer Science,6.03,No,Yes,No,Yes,4,No,57,41,1,2,Placed
Male,CBSE,59.3,ICSE,68.7,Information Technology,7.48,Yes,Yes,Yes,No,3,Yes,47,45,4,0,Placed
Female,ICSE,35.6,State,35.0,Computer Science,3.85,No,No,Yes,Yes,3,No,30,10,2,0,Not Placed
Male,State,46.4,State,43.6,Electronics,6.21,Yes,Yes,No,Yes,5,Yes,29,63,2,3,Placed
Female,ICSE,97.5,Other,67.0,Computer Science,8.5,No,Yes,Yes,Yes,1,Yes,77,60,0,1,Placed
Male,CBSE,35.0,Other,35.0,Information Technology,3.34,No,Yes,No,Yes,4,Yes,4,0,1,2,Not Placed
Female,CBSE,61.3,State,88.2,Civil,8.55,Yes,No,No,Yes,3,Yes,65,47,2,1,Placed
Male,State,62.8,State,72.9,Electronics,9.27,No,Yes,Yes,No,3,No,83,72,0,0,Placed
Female,CBSE,45.8,Other,43.3,Information Technology,4.93,No,Yes,No,Yes,3,Yes,16,28,4,0,Placed
Male,ICSE,82.0,CBSE,86.7,Information Technology,9.1,Yes,No,Yes,Yes,4,Yes,97,79,0,1,Placed
Female,CBSE,50.7,CBSE,35.0,Electronics,5.17,Yes,Yes,No,Yes,4,Yes,29,36,2,0,Placed
Male,State,61.3,CBSE,70.8,Computer Science,6.0,Yes,No,Yes,Yes,2,Yes,76,48,0,1,Placed
Female,CBSE,37.7,ICSE,38.2,Computer Science,4.67,Yes,Yes,No,Yes,3,Yes,40,31,0,0,Placed
Female,CBSE,66.3,State,67.5,Electrical,4.23,Yes,Yes,No,Yes,3,Yes,55,49,2,5,Placed
Male,ICSE,48.6,CBSE,36.7,Computer Science,5.75,No,Yes,Yes,No,4,No,33,37,1,2,Not Placed
Male,CBSE,64.7,Other,74.3,Civil,6.82,Yes,Yes,Yes,Yes,3,Yes,62,32,0,0,Placed
Male,State,71.5,State,35.0,Electrical,8.02,Yes,No,Yes,Yes,3,No,63,46,1,0,Not Placed
Female,Other,58.6,ICSE,35.4,Computer Science,5.77,No,No,No,No,3,Yes,41,26,0,1,Not Placed
Female,State,35.0,CBSE,35.0,Information Technology,5.6,Yes,Yes,No,Yes,3,Yes,15,18,3,0,Placed
Female,ICSE,63.6,State,35.0,Electronics,7.16,Yes,Yes,Yes,Yes,5,Yes,56,55,2,1,Placed
Male,CBSE,57.9,State,64.6,Electrical,5.35,Yes,Yes,No,Yes,3,Yes,60,52,2,3,Placed
Male,CBSE,56.3,State,50.7,Other,6.51,Yes,Yes,No,Yes,1,Yes,43,35,4,3,Placed
Female,ICSE,80.3,State,69.0,Civil,9.42,No,Yes,No,Yes,4,Yes,89,91,2,3,Placed
Male,State,35.0,ICSE,35.0,Computer Science,3.0,Yes,Yes,Yes,Yes,4,Yes,0,19,0,0,Not Placed
Others,State,36.6,CBSE,35.0,Mechanical,3.0,No,No,No,Yes,5,Yes,16,0,4,1,Not Placed
Male,State,54.5,ICSE,35.0,Information Technology,4.69,Yes,Yes,Yes,Yes,2,Yes,21,23,0,1,Not Placed
Female,CBSE,35.0,CBSE,46.8,Information Technology,7.57,No,No,No,Yes,3,Yes,39,51,0,2,Placed
Male,CBSE,48.1,CBSE,35.0,Computer Science,3.37,Yes,Yes,No,Yes,2,Yes,46,22,0,1,Placed
Male,ICSE,37.1,CBSE,35.0,Computer Science,3.63,Yes,Yes,Yes,Yes,3,Yes,42,27,0,1,Not Placed
Female,State,64.6,CBSE,65.3,Electrical,7.98,Yes,Yes,No,Yes,4,No,64,67,0,1,Placed
Female,State,53.0,CBSE,68.7,Information Technology,5.05,Yes,No,No,No,4,Yes,67,46,1,2,Placed
Others,ICSE,52.1,ICSE,62.4,Information Technology,5.6,No,Yes,No,No,4,Yes,49,39,2,1,Placed
Male,CBSE,61.9,State,71.6,Information Technology,8.9,No,Yes,No,No,3,Yes,55,64,1,0,Placed
Male,CBSE,36.3,State,35.0,Electrical,5.41,Yes,Yes,Yes,Yes,4,Yes,29,46,0,2,Placed
Female,ICSE,35.0,State,46.1,Civil,4.82,Yes,Yes,No,Yes,3,Yes,30,55,3,0,Placed
Female,ICSE,58.8,CBSE,60.0,Computer Science,6.26,Yes,Yes,No,Yes,3,Yes,58,65,1,2,Placed
Male,State,35.0,CBSE,46.2,Computer Science,3.27,No,No,No,Yes,5,Yes,10,13,3,0,Placed
Male,CBSE,35.0,State,35.0,Computer Science,3.0,Yes,No,Yes,Yes,2,Yes,0,14,0,1,Not Placed
Male,CBSE,53.0,State,35.4,Electrical,7.24,No,Yes,Yes,No,3,No,34,36,1,1,Not Placed
Female,State,70.6,ICSE,75.9,Electronics,9.38,Yes,No,Yes,Yes,4,Yes,52,50,3,4,Placed
Male,CBSE,46.4,State,61.4,Electronics,5.8,Yes,Yes,No,Yes,4,No,54,50,0,0,Placed
Male,ICSE,74.9,State,54.6,Electronics,7.32,Yes,No,No,No,4,Yes,59,64,3,2,Placed
Male,Other,35.0,State,35.0,Information Technology,3.0,No,Yes,No,Yes,2,Yes,13,22,1,4,Not Placed
Male,ICSE,67.0,Other,51.6,Electrical,5.96,Yes,No,No,No,2,Yes,51,52,4,0,Placed
Male,CBSE,54.8,CBSE,75.9,Electronics,7.14,Yes,No,No,Yes,5,Yes,43,50,2,0,Placed
Male,ICSE,35.0,State,35.0,Computer Science,3.0,Yes,Yes,Yes,Yes,3,No,3,1,4,4,Not Placed
Male,CBSE,66.5,State,73.2,Computer Science,9.37,Yes,No,Yes,Yes,1,Yes,47,49,0,1,Placed
Female,CBSE,59.8,Other,42.8,Electronics,4.72,No,No,No,Yes,2,Yes,32,34,2,3,Not Placed
Male,CBSE,91.8,CBSE,87.0,Other,9.96,Yes,No,No,Yes,5,Yes,77,100,3,2,Placed
Female,CBSE,35.0,State,35.0,Information Technology,3.0,Yes,Yes,No,Yes,3,Yes,16,6,5,1,Placed
Female,Other,97.8,CBSE,68.4,Electrical,9.0,Yes,Yes,No,Yes,4,Yes,75,70,0,0,Placed
Female,CBSE,35.0,State,45.5,Civil,4.14,No,Yes,Yes,Yes,4,No,15,49,0,2,Not Placed
Male,CBSE,35.0,CBSE,35.0,Computer Science,3.65,Yes,No,Yes,Yes,4,Yes,2,21,2,1,Not Placed
Male,Other,35.0,CBSE,35.0,Computer Science,4.71,No,Yes,No,No,3,No,34,33,0,1,Not Placed
Male,CBSE,42.1,State,51.0,Computer Science,5.43,Yes,No,Yes,Yes,3,Yes,38,62,0,1,Placed
Female,ICSE,66.0,CBSE,54.6,Civil,6.39,Yes,Yes,Yes,No,4,Yes,67,58,1,0,Placed
Others,CBSE,92.0,CBSE,94.3,Computer Science,8.66,No,Yes,No,Yes,4,Yes,69,81,1,0,Placed
Female,CBSE,74.0,CBSE,63.5,Information Technology,9.04,No,Yes,No,Yes,1,Yes,72,60,2,1,Placed
Female,Other,35.0,CBSE,44.3,Electronics,4.41,Yes,No,Yes,Yes,2,No,19,30,0,1,Not Placed
Female,CBSE,57.6,Other,71.1,Civil,7.86,Yes,Yes,Yes,Yes,3,Yes,69,77,1,2,Placed
Male,State,53.9,State,57.2,Computer Science,7.52,No,No,Yes,Yes,3,Yes,70,62,0,1,Placed
Male,CBSE,38.9,ICSE,57.7,Information Technology,3.78,Yes,Yes,No,Yes,3,No,43,42,2,1,Placed
Female,CBSE,57.7,State,35.0,Information Technology,3.23,No,No,No,No,3,Yes,28,70,1,1,Not Placed
Female,CBSE,35.0,Other,36.6,Electronics,4.81,Yes,Yes,No,Yes,4,Yes,61,30,1,2,Placed
Male,CBSE,51.1,State,38.1,Electrical,7.11,Yes,No,No,No,3,Yes,60,37,2,1,Placed
Female,CBSE,53.1,State,35.0,Computer Science,5.58,Yes,Yes,Yes,Yes,3,Yes,22,36,2,1,Placed
Male,ICSE,35.0,State,35.0,Electrical,3.0,Yes,No,No,Yes,3,Yes,14,17,0,2,Not Placed
Male,State,42.2,State,58.5,Civil,6.52,Yes,Yes,Yes,No,3,Yes,59,43,2,0,Not Placed
Male,CBSE,78.8,State,52.0,Electronics,7.84,Yes,Yes,No,Yes,4,Yes,66,55,2,0,Placed
